Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
1	4.780255093006417	309.1200031340122	[2.979113]	[3.2107842]
2	8.561592184007168	277.11618834733963	[2.84407]	[3.0207288]
3	12.285985670998343	288.8911526799202	[2.8327127]	[3.0067997]
4	16.14372009500221	277.2183185815811	[2.8229854]	[2.999432]
5	20.1743851150095	271.3216198682785	[2.8152921]	[2.9911065]
6	23.976330224002595	278.57473689317703	[2.791732]	[2.9687383]
7	27.792133267997997	275.084590703249	[2.772487]	[2.9465907]
8	31.657991711006616	257.48408955335617	[2.678799]	[2.8764427]
9	35.71637893001025	270.0331975519657	[2.6373599]	[2.8456392]
10	39.448867062004865	268.9251594543457	[2.6383505]	[2.8605447]
11	43.226547511003446	254.8768534362316	[2.6452577]	[2.8792222]
12	47.102435288004926	255.88144850730896	[2.5813446]	[2.7864857]
13	51.081179032000364	263.55403104424477	[2.5464966]	[2.7760766]
14	54.82406236900715	260.8590638935566	[2.5087905]	[2.748417]
15	58.589849684009096	255.1467550843954	[2.4843762]	[2.7207696]
16	62.48428416400566	263.49544137716293	[2.5169537]	[2.72092]
17	66.44112507499813	244.66562539339066	[2.544912]	[2.771941]
18	70.19444559900148	237.44018307328224	[2.4872983]	[2.7298765]
19	73.96828955299861	244.6860463321209	[2.5407355]	[2.770592]
20	77.89443920300982	253.11229532957077	[2.5142686]	[2.7450116]
21	81.83142007300921	238.2957239151001	[2.4491534]	[2.677364]
22	85.55394368100679	240.47946912050247	[2.4334486]	[2.6755567]
23	89.2582992670068	239.86602291464806	[2.382169]	[2.6374865]
24	93.18838529099594	239.11188489198685	[2.4433634]	[2.6917853]
25	97.16272211199976	246.02522273361683	[2.4127555]	[2.6726696]
26	100.84051691900822	235.98332434892654	[2.3933578]	[2.6609936]
27	104.63012140600767	247.9824683815241	[2.3773448]	[2.647486]
28	108.6082294480002	244.04616886377335	[2.3869848]	[2.6563623]
29	112.46287230400776	235.39595179259777	[2.33976]	[2.6306612]
30	116.18211280500691	236.3355477154255	[2.3169806]	[2.6159003]
31	119.99297195200052	235.8149179816246	[2.2951725]	[2.6082804]
32	123.91758372500772	233.33374413847923	[2.294207]	[2.6124372]
33	127.78709145399625	233.05264249444008	[2.391375]	[2.6738913]
34	131.53529344400158	245.8836140781641	[2.2992237]	[2.6212177]
35	135.3256773410103	223.7192729562521	[2.3460906]	[2.708289]
36	139.31338297200273	240.41796246170998	[2.2953172]	[2.611932]
37	143.11967089799873	228.82830922305584	[2.2535975]	[2.608912]
38	146.88739577200613	234.50498738884926	[2.2896914]	[2.6133897]
39	150.64466124500905	224.11276361346245	[2.2218466]	[2.5693967]
40	154.6936806809972	228.5821833834052	[2.2925093]	[2.6218078]
41	158.50570772700303	221.02581951022148	[2.249857]	[2.5957646]
42	162.19638634599687	224.4391824901104	[2.32941]	[2.630081]
43	166.06655663299898	216.4734586328268	[2.2413538]	[2.5881069]
44	170.12445948099776	224.34734922647476	[2.1916351]	[2.5715983]
45	173.92049757200584	236.81986632943153	[2.1999555]	[2.5795367]
46	177.6299473090039	233.2665881216526	[2.2039022]	[2.581279]
47	181.5316053849965	224.4424466341734	[2.1870112]	[2.5707564]
48	185.55976822400407	217.2392381131649	[2.156361]	[2.566687]
49	189.36153849000402	220.32962229847908	[2.2141514]	[2.5483644]
50	193.07316713800537	214.90504482388496	[2.148402]	[2.5430596]
51	196.96252536300744	227.28496378660202	[2.1626604]	[2.5538974]
52	200.9227610579983	214.73377594351768	[2.1182592]	[2.552679]
53	204.6782641160098	222.85447072982788	[2.0964577]	[2.5578823]
54	208.48786590099917	216.09322518110275	[2.1117098]	[2.600492]
55	212.40491094799654	206.41434264183044	[2.1271574]	[2.5716934]
56	216.29709430399816	217.23498909175396	[2.0861993]	[2.5682473]
57	219.99563778900483	220.17728053033352	[2.0925462]	[2.5438738]
58	223.7168609579967	208.9219996482134	[2.0957625]	[2.6386127]
59	227.5798216920084	217.26515809446573	[2.0709102]	[2.5600903]
60	231.52564772800542	218.8163645863533	[2.1229277]	[2.5679364]
61	235.2573944629985	205.2213966101408	[2.0076928]	[2.56498]
62	238.98324723300175	218.57374650239944	[2.1485057]	[2.5632043]
63	242.93527584600088	222.868433624506	[2.041991]	[2.5345635]
64	246.82970368099632	215.31404384970665	[2.0238779]	[2.5614848]
65	250.58919220599637	201.82075947523117	[2.0476046]	[2.5188277]
66	254.28874543099664	210.98987336456776	[2.1454835]	[2.5407648]
67	258.2561932170065	203.50615698099136	[1.9968183]	[2.5300004]
68	262.1423440689978	201.29878968000412	[1.9759752]	[2.5463994]
69	265.85966246400494	199.5690737068653	[2.0212407]	[2.6379094]
70	269.54048192199843	216.9959955662489	[2.031513]	[2.5340805]
71	273.4897119649977	214.42994517087936	[1.9864378]	[2.5579164]
72	277.3838787249988	203.62919425964355	[1.9450449]	[2.558694]
73	281.10164126699965	210.23732694983482	[2.077833]	[2.5379455]
74	284.8380325120088	209.52734880149364	[1.9311554]	[2.5359857]
75	288.8118684860092	204.87099219858646	[2.0009968]	[2.4894671]
76	292.6393180129962	200.4804495871067	[1.9936041]	[2.4778814]
77	296.35580295699765	207.13338804244995	[1.9264969]	[2.5256464]
78	300.1775230080093	210.20076671242714	[2.0478697]	[2.4674366]
79	304.21537757299666	198.44511300325394	[1.923392]	[2.4669259]
80	308.07035954300954	203.36472299695015	[1.9298164]	[2.4616253]
81	311.78445626600296	199.7854939252138	[1.924408]	[2.5314374]
82	315.6112288130098	185.78529618680477	[1.9017327]	[2.495268]
83	319.61744544700196	200.81103993952274	[1.9044133]	[2.4967422]
84	323.4476163329964	190.60253730416298	[1.9230236]	[2.5485837]
85	327.1950676069973	192.1075723171234	[1.8668073]	[2.5165825]
86	331.03178503100935	202.20773094892502	[1.8874917]	[2.4757898]
87	335.06001974700484	195.0900132060051	[1.8869481]	[2.4621947]
88	338.85789661100716	207.9202088713646	[1.8874458]	[2.4773905]
89	342.5837641560065	192.08443401753902	[1.8746003]	[2.5600321]
90	346.45096073299646	211.18001325428486	[1.9220438]	[2.4636893]
91	350.4394379190053	189.24654895067215	[2.0371447]	[2.495511]
92	354.19373720399744	207.36371448636055	[1.8573929]	[2.470156]
93	357.90267515899905	196.0871655344963	[2.0221803]	[2.5166748]
94	361.7544651240023	192.14686846733093	[1.8972465]	[2.4582288]
95	365.72946055400826	198.32767111063004	[1.8678012]	[2.45736]
96	369.46350386000995	202.63136731088161	[1.8090526]	[2.5177665]
97	373.19271487000515	189.9739447236061	[1.8049731]	[2.5227115]
98	377.1154257070011	191.09323117136955	[1.7853417]	[2.4713433]
99	381.13496655999916	207.17241537570953	[1.8455273]	[2.4529274]
100	384.8616103240056	194.3720447719097	[1.9401301]	[2.6484175]
