Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
1	11.39704096099922	552.7069459855556	[0.979176]	[1.0165092]
2	22.62790332899931	351.8446525335312	[0.9112774]	[0.9327506]
3	33.64198619600029	334.62079232931137	[0.9005667]	[0.9113255]
4	44.64073932099927	332.5279738306999	[1.040692]	[1.0308464]
5	55.3943718190003	328.70011952519417	[0.86504304]	[0.90054476]
6	66.16099013299936	327.4681473970413	[0.84990865]	[0.87602377]
7	77.00570878799954	321.54026144742966	[0.83965284]	[0.8694109]
8	87.90825518100064	316.94466507434845	[0.8488307]	[0.87326574]
9	98.5195223869996	316.71851071715355	[0.8460911]	[0.8721278]
10	109.44857517700075	315.81059169769287	[0.8311506]	[0.85767365]
11	120.31745284099998	313.51827389001846	[0.798217]	[0.8417401]
12	131.0806919200004	299.8633009195328	[0.7930401]	[0.84264827]
13	141.8220438770004	300.1964145600796	[0.7876832]	[0.83088696]
14	152.7039230829996	292.6498376429081	[0.7602889]	[0.81236345]
15	163.74759559999984	289.781154692173	[0.7519612]	[0.82092106]
16	174.2407784349998	293.3163464665413	[0.7690671]	[0.833866]
17	185.06492823500048	288.0035218298435	[0.73936135]	[0.8083391]
18	195.91959569500068	286.7705055475235	[0.73083764]	[0.80032086]
19	206.8238792610009	283.812217310071	[0.7223169]	[0.78653675]
20	217.61068493399944	281.32109040021896	[0.725792]	[0.7893145]
21	228.7875934650001	279.23539873957634	[0.7012412]	[0.7723107]
22	240.13550790599948	278.47094425559044	[0.70599645]	[0.77085674]
23	250.8700312660003	276.59772405028343	[0.69997764]	[0.77323437]
24	261.5930502200008	271.7838619053364	[0.7026547]	[0.7631004]
25	272.47558362400014	271.64211535453796	[0.7355487]	[0.8174107]
26	283.53189854800075	265.2104524374008	[0.6608518]	[0.732203]
27	294.08889854799963	265.1812846958637	[0.66773623]	[0.73519015]
28	304.9940921130001	264.4582093656063	[0.66076285]	[0.7246963]
29	315.9329623070007	261.9978884756565	[0.6415473]	[0.71573734]
30	326.925104932001	252.71045315265656	[0.6231146]	[0.6963292]
31	337.6646377870002	253.58943873643875	[0.6204467]	[0.6905825]
32	348.47404955800084	246.90860134363174	[0.6080186]	[0.6821909]
33	359.53697783200005	251.2661196887493	[0.59205055]	[0.6750809]
34	370.1123738309998	248.07786032557487	[0.5989403]	[0.6745666]
35	380.92940490600085	238.34633241593838	[0.6097419]	[0.68110156]
36	391.8936216630009	239.85452702641487	[0.5817051]	[0.6579547]
37	402.725563299	236.929114818573	[0.5753984]	[0.66383237]
38	413.4150668759994	236.23386472463608	[0.55367035]	[0.6518442]
39	424.3009224029993	235.18493065238	[0.6209022]	[0.6895255]
40	435.26850271200055	232.18253281712532	[0.5765554]	[0.66078484]
41	446.48581028599983	230.86322417855263	[0.56679076]	[0.6551931]
42	457.24091328800023	228.2590567469597	[0.5372655]	[0.6364127]
43	468.13520331499967	230.31870302557945	[0.53742915]	[0.6275168]
44	479.13345825599936	225.3077214062214	[0.5357824]	[0.63142055]
45	489.6581723220006	224.5173999965191	[0.55587065]	[0.6523766]
46	500.4610406060001	224.27955582737923	[0.6195525]	[0.7010737]
47	511.35599052200087	224.40229077637196	[0.52609485]	[0.6253134]
48	522.0693996629998	225.423751860857	[0.50653046]	[0.6027972]
49	532.7494737029992	216.14304004609585	[0.5415923]	[0.63487506]
50	543.6043404619995	219.75262677669525	[0.5661791]	[0.65765846]
51	554.6489020230001	217.13355858623981	[0.51069176]	[0.60521185]
52	565.2717186560003	212.04818892478943	[0.56266207]	[0.65776336]
53	576.1045890080004	214.7655883282423	[0.52808297]	[0.627747]
54	586.9260054450006	210.2552754431963	[0.5611966]	[0.6462243]
55	597.7402864970009	210.28380651772022	[0.48582947]	[0.5988362]
56	608.4255804179993	213.0947967171669	[0.5297583]	[0.63508636]
57	619.4199517720008	206.99521702528	[0.56383926]	[0.6545802]
58	630.4469598840005	209.7805585861206	[0.50402737]	[0.6056523]
59	641.34160815	207.10098449885845	[0.51621056]	[0.6184072]
60	652.7049877890004	205.51275604963303	[0.49942198]	[0.6154132]
61	663.7666681840001	203.05652014911175	[0.50829077]	[0.6190547]
62	674.834279531	204.90770077705383	[0.48345342]	[0.6052011]
63	685.5121170729999	205.65352591872215	[0.5282392]	[0.6370636]
64	696.3009257680005	205.80280409753323	[0.48387882]	[0.6006482]
65	707.1520443179998	200.8312410414219	[0.46046853]	[0.56786203]
66	717.9906161479994	204.2782133668661	[0.4818471]	[0.59292126]
67	728.5827889539996	198.720515742898	[0.53245234]	[0.6373351]
68	739.3691449510006	200.57816615700722	[0.47025317]	[0.5904694]
69	750.2150453689992	201.37686495482922	[0.5143492]	[0.6194525]
70	760.9255856199998	199.27936163544655	[0.48080876]	[0.59300274]
71	771.6372629779999	199.00796647369862	[0.48612368]	[0.5992484]
72	782.5178928460009	195.14520466327667	[0.45149657]	[0.5740551]
