Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
1	3.6146159449999686	417.3985905647278	[5.115496]	[5.097328]
2	6.526153087999774	257.0873607993126	[1.4066135]	[1.3040321]
3	9.391127840999616	113.9654598236084	[1.3686595]	[1.305778]
4	12.48413195899957	106.07148569822311	[1.3150849]	[1.2924396]
5	15.60972404199947	100.80230700969696	[1.1981087]	[1.214284]
6	18.512733730000036	88.84885114431381	[1.0910256]	[1.1188982]
7	21.45909350799957	83.53995931148529	[0.96055263]	[0.96962523]
8	24.366758997000034	73.90338388085365	[0.8795042]	[0.89980096]
9	27.435636385999715	66.57510951161385	[0.84718996]	[0.87389207]
10	30.53529197699936	57.658060163259506	[0.6405912]	[0.66175616]
11	33.618943224999384	49.53833305835724	[0.6294943]	[0.65433306]
12	36.719231416000184	44.81754910945892	[0.49081782]	[0.49954355]
13	39.61069282700009	39.19775849580765	[0.4789195]	[0.49083862]
14	42.711867832999815	37.109671249985695	[0.43092018]	[0.44684252]
15	45.795732616999885	35.75353044271469	[0.4319]	[0.4430232]
16	48.67527685599998	35.25513043999672	[0.41364256]	[0.43146607]
17	51.56351758299934	36.4766084253788	[0.43325156]	[0.44037437]
18	54.43398477299979	35.02558520436287	[0.39101318]	[0.4165845]
19	57.54270481099957	34.519101187586784	[0.39586422]	[0.41322178]
20	60.62877929899969	34.6555148512125	[0.41764805]	[0.43973964]
21	63.51412478800012	33.5009211152792	[0.39553794]	[0.42259166]
22	66.40737094699944	35.19002577662468	[0.38223657]	[0.412267]
23	69.30181094899945	32.93006271123886	[0.38170958]	[0.41238332]
24	72.33993398999974	34.874147579073906	[0.40513906]	[0.43112442]
25	75.45619304699994	33.81090219318867	[0.44722098]	[0.47443226]
26	78.33303713299938	35.24761340022087	[0.38556558]	[0.41364828]
27	81.22114238199993	33.07475355267525	[0.36947834]	[0.39973116]
28	84.14704186299969	31.953491032123566	[0.47566524]	[0.5046825]
29	87.17474322599992	32.36199077963829	[0.35097528]	[0.39608583]
30	90.30977988499944	30.96094159781933	[0.39540502]	[0.4327167]
31	93.2153288139998	32.15642273426056	[0.36515775]	[0.40765542]
32	96.11784756299949	30.200697883963585	[0.37254637]	[0.41319457]
33	99.00444743699973	31.360912322998047	[0.37679625]	[0.41791484]
34	102.05927227099983	30.937647610902786	[0.34904012]	[0.3902952]
35	105.20965911499934	31.213356480002403	[0.34724477]	[0.39328468]
36	108.09192937499938	30.62019321322441	[0.34037742]	[0.37968346]
37	110.99627994299954	30.362329930067062	[0.3379221]	[0.3817721]
38	113.9054339180002	29.042602717876434	[0.3463531]	[0.39445594]
39	116.95707781999954	30.303499534726143	[0.34259394]	[0.3973557]
40	120.1234209589993	28.775094255805016	[0.3242083]	[0.38651577]
41	123.04719579499942	29.636284679174423	[0.37689558]	[0.4306046]
42	125.92699413899936	29.518880404531956	[0.32323477]	[0.3847474]
43	128.76987518899932	28.279279589653015	[0.36352384]	[0.41693425]
44	131.83723744899999	29.98594743013382	[0.32389343]	[0.38371938]
45	135.01493644899983	28.89775237441063	[0.32753277]	[0.3823541]
46	137.95266093699956	28.257178992033005	[0.3192643]	[0.382941]
47	140.830302157	28.67997846007347	[0.37256426]	[0.42554566]
48	143.74050521299978	28.300122290849686	[0.33728546]	[0.3957582]
49	146.8204329549999	29.292954221367836	[0.30700305]	[0.37704766]
50	149.94723114999942	28.60972972214222	[0.30099124]	[0.37666723]
