Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
1	15.758276835000288	1444.5575759410858	[1.3549606]	[1.3807979]
2	32.01574899299885	1029.074596554041	[1.1565014]	[1.1911558]
3	47.429237041000306	916.8271934390068	[1.0512073]	[1.0730253]
4	62.61346057999981	870.7537370920181	[1.0005282]	[1.0514555]
5	77.6858529050005	824.559823423624	[0.9428886]	[0.9885477]
6	92.79320301699954	805.5240657925606	[0.8943839]	[0.9434192]
7	107.97768354799882	778.6062250733376	[0.9048707]	[0.95243347]
8	123.0676720979991	747.8712964057922	[0.83737713]	[0.8954721]
9	138.28416638999988	740.843711078167	[0.81737036]	[0.87338686]
10	153.60688033800034	719.6969922184944	[0.8101945]	[0.86687213]
11	168.865246551999	702.3788478374481	[0.7948863]	[0.8580539]
12	184.02252515600048	686.7057853043079	[0.80977786]	[0.8748518]
13	199.23353507299908	674.092470318079	[0.7847363]	[0.85104394]
14	214.4743158580004	672.564556479454	[0.77946544]	[0.84322053]
15	229.60443559699888	656.9972831010818	[0.75026155]	[0.8114196]
16	244.57683846600048	645.3106941282749	[0.788291]	[0.8463791]
17	260.79639364299874	639.2049205005169	[0.73691684]	[0.7982096]
18	276.0252994729999	630.0321321636438	[0.7414248]	[0.81436193]
19	291.1943967619991	628.821198284626	[0.8582419]	[0.9090229]
20	306.36006195499976	617.2111136615276	[0.8631437]	[0.9275961]
21	321.54928838399974	616.0408895611763	[0.7381843]	[0.8147266]
22	336.76452362099917	610.1063531041145	[0.716328]	[0.7993149]
23	351.985644978	607.8388797491789	[0.7464579]	[0.832839]
24	367.13407218300017	602.9779067486525	[0.6930645]	[0.7702588]
25	382.32551959599914	589.1885416954756	[0.7289308]	[0.8170578]
26	397.69777090299976	590.880258411169	[0.731239]	[0.8166597]
27	413.27868438599944	586.9653167575598	[0.73603916]	[0.81168014]
28	428.81430101799924	590.631928190589	[0.68979204]	[0.78244203]
29	444.34125674200004	583.8988244533539	[0.7606956]	[0.84317374]
30	459.84932618399944	579.898461446166	[0.6670384]	[0.75569487]
31	475.201192687	583.2422835975885	[0.7338213]	[0.8232941]
32	490.5184512670003	572.265628054738	[0.68841463]	[0.77973366]
33	507.18403131599916	572.9454606473446	[0.699173]	[0.78675914]
34	522.5736852199989	569.8538190722466	[0.6925018]	[0.77487457]
35	537.8242078299991	567.4242917150259	[0.6784645]	[0.7756629]
36	553.2213392729991	562.5193136036396	[0.6880568]	[0.7887208]
37	568.2896307319988	562.7175478041172	[0.68327326]	[0.78172463]
38	583.3141640140002	560.446759596467	[0.6404069]	[0.73309034]
39	598.260882995999	559.02230258286	[0.6334391]	[0.7315284]
40	613.2771376000001	557.5314523726702	[0.6548495]	[0.7631102]
41	628.447219488	559.9118610322475	[0.6786726]	[0.7631423]
42	643.7402812649998	553.7236324697733	[0.6570401]	[0.7621541]
43	658.9350910199992	552.4344683736563	[0.65382683]	[0.7505831]
44	674.2894619409999	551.4803590923548	[0.6713822]	[0.7600461]
45	689.2429763199998	546.9345342814922	[0.6361197]	[0.73633623]
46	704.2643578299994	537.7602450698614	[0.6185468]	[0.7280943]
47	719.1816531919994	550.9800298511982	[0.6727471]	[0.78158414]
48	734.033697167999	538.7223545014858	[0.61362547]	[0.71522677]
49	749.8596066310001	547.9833767414093	[0.669473]	[0.77311397]
50	765.5383960540003	538.6283855289221	[0.66008097]	[0.7740514]
51	780.7488399319991	534.5890558362007	[0.65449727]	[0.77143586]
52	796.0689390560001	530.5195443928242	[0.70674676]	[0.8179889]
53	810.8890198539993	526.2981303334236	[0.6160495]	[0.7264555]
54	826.0199035080004	524.4356202632189	[0.60913277]	[0.7276959]
55	840.9426273509998	522.085815295577	[0.6147512]	[0.7209962]
56	856.2467724649996	524.5997096151114	[0.65826166]	[0.7806778]
57	871.1665409779998	525.9977566450834	[0.6440314]	[0.7594588]
58	886.1332781059991	528.8880045562983	[0.59764946]	[0.7196783]
59	901.1140406630002	515.9148725420237	[0.6122209]	[0.7405125]
60	916.0294278270012	524.2053741514683	[0.5922765]	[0.71249497]
61	930.9486569059991	518.650871321559	[0.6233108]	[0.7505621]
62	945.9488276539996	521.7250971719623	[0.6337801]	[0.76102597]
63	960.9048619109999	517.8313041180372	[0.5977779]	[0.72175896]
64	976.1526638299983	517.5984554737806	[0.6208336]	[0.7447411]
65	991.9368493289985	515.6241074353456	[0.61783445]	[0.75142926]
66	1007.9769543609982	508.59128522872925	[0.59918576]	[0.72640795]
67	1023.4106421899996	510.56124863028526	[0.58904374]	[0.71145284]
68	1038.779182620001	513.2541878223419	[0.60057104]	[0.7169294]
